f1,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/n_estimators,config/max_depth,config/learning_rate,config/subsample,config/colsample_bytree,config/gamma,config/reg_alpha,config/reg_lambda,logdir
0.8982938940413167,1726802955,,False,1,bcc6b_00000,2024-09-20_11-29-15,320.4322741031647,320.4322741031647,62395,Behs-MacBook-Air-2.local,127.0.0.1,320.4322741031647,1,12,14,0.01391421282563865,0.7812467016736997,0.7394264235776455,0.03810860001741373,0.4953109102498548,0.11671010123846834,bcc6b_00000
0.8798765075826932,1726802887,,True,1,bcc6b_00001,2024-09-20_11-28-07,253.7197470664978,253.7197470664978,62396,Behs-MacBook-Air-2.local,127.0.0.1,253.7197470664978,1,16,4,0.003867175974078628,0.8024653302483583,0.7774699040417219,0.27501529170048566,2.1224240599168198e-05,0.004575552677886804,bcc6b_00001
0.9116835170958882,1726802927,,False,1,bcc6b_00002,2024-09-20_11-28-47,292.66597390174866,292.66597390174866,62397,Behs-MacBook-Air-2.local,127.0.0.1,292.66597390174866,1,25,3,0.11382600922866078,0.8887835193955859,0.621090024617741,0.0004938098621938259,2.7397283095559356e-06,2.00618138131514e-07,bcc6b_00002
0.8918537462351894,1726802892,,False,1,bcc6b_00003,2024-09-20_11-28-12,258.1182441711426,258.1182441711426,62398,Behs-MacBook-Air-2.local,127.0.0.1,258.1182441711426,1,11,6,0.013378668103033637,0.8912827853284766,0.8249505836672268,0.6086340053805174,0.6052376895450453,0.0031656252024709767,bcc6b_00003
0.8928873276811421,1726802979,,True,1,bcc6b_00004,2024-09-20_11-29-39,345.0159659385681,345.0159659385681,62399,Behs-MacBook-Air-2.local,127.0.0.1,345.0159659385681,1,23,4,0.015245169032262985,0.6001525534867352,0.984380269061706,2.21426539061574e-07,0.001943334688487088,0.0008105475986520648,bcc6b_00004
0.8809059427616128,1726802868,,False,1,bcc6b_00005,2024-09-20_11-27-48,233.2393500804901,233.2393500804901,62400,Behs-MacBook-Air-2.local,127.0.0.1,233.2393500804901,1,15,4,0.00471221439789698,0.7617709326581651,0.7147318076966627,5.468304484970379e-05,5.125453022002785e-07,4.098424503294327e-07,bcc6b_00005
0.9091115047300613,1726803099,,False,1,bcc6b_00006,2024-09-20_11-31-39,465.4068911075592,465.4068911075592,62401,Behs-MacBook-Air-2.local,127.0.0.1,465.4068911075592,1,29,11,0.085554390785891,0.8538487270530706,0.684923513809281,0.3253334088373557,0.9209189959607847,0.03939638926052128,bcc6b_00006
0.899713244172007,1726803117,,True,1,bcc6b_00007,2024-09-20_11-31-57,483.10088872909546,483.10088872909546,62402,Behs-MacBook-Air-2.local,127.0.0.1,483.10088872909546,1,21,11,0.01885403528656798,0.8287380149683202,0.8436463348212266,0.0004035148221081346,0.0002969096828498207,0.007252663741100646,bcc6b_00007
0.8758863060409453,1726803071,,True,1,bcc6b_00008,2024-09-20_11-31-11,191.07620406150818,191.07620406150818,62531,Behs-MacBook-Air-2.local,127.0.0.1,191.07620406150818,1,27,3,0.00676275078829363,0.993862847197371,0.6419290275613186,0.0001296561395236683,0.21830431143942497,0.00428566872601543,bcc6b_00008
0.901124467619313,1726803120,,False,1,bcc6b_00009,2024-09-20_11-32-00,222.61830306053162,222.61830306053162,62544,Behs-MacBook-Air-2.local,127.0.0.1,222.61830306053162,1,15,11,0.0011123874664316588,0.7229025374210086,0.6914862747501654,0.029792068330346942,3.2256305115992094e-05,0.0008545292864591657,bcc6b_00009
