f1,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/n_estimators,config/max_depth,config/learning_rate,config/subsample,config/colsample_bytree,config/gamma,config/reg_alpha,config/reg_lambda,logdir
0.9741754574427656,1731916368,,False,1,38b12_00010,2024-11-18_15-52-48,788.1977849006653,788.1977849006653,29068,Behs-MacBook-Air-2.local,127.0.0.1,788.1977849006653,1,37,14,0.03216526597287352,0.9315169049472756,0.8599715427831286,0.00041557797588708705,3.256578557679694e-05,0.30386351706167697,38b12_00010
0.9725944553971868,1731916195,,False,1,38b12_00011,2024-11-18_15-49-55,589.9223718643188,589.9223718643188,29078,Behs-MacBook-Air-2.local,127.0.0.1,589.9223718643188,1,24,14,0.010379500734303014,0.9582591508380003,0.8280112009492643,3.880276694255296e-05,0.029139883592307406,3.168832968265435e-05,38b12_00011
0.9573103380624485,1731915830,,True,1,38b12_00012,2024-11-18_15-43-50,205.8238649368286,205.8238649368286,29087,Behs-MacBook-Air-2.local,127.0.0.1,205.8238649368286,1,18,5,0.01721862181761245,0.8782514595135811,0.9465864251705876,7.542134530909452e-06,2.038580916838573e-05,9.941941114933735e-07,38b12_00012
0.9703110487330718,1731915859,,True,1,38b12_00013,2024-11-18_15-44-19,190.66725778579712,190.66725778579712,29114,Behs-MacBook-Air-2.local,127.0.0.1,190.66725778579712,1,11,8,0.0016799775365606649,0.6986379685384808,0.705998019259715,4.1879331850573354e-07,0.06875768407656309,4.588984494214324e-06,38b12_00013
0.908528767754761,1731915926,,True,1,38b12_00014,2024-11-18_15-45-26,197.57478404045105,197.57478404045105,29162,Behs-MacBook-Air-2.local,127.0.0.1,197.57478404045105,1,33,3,0.0011841833805796686,0.6966637550699819,0.8109604521493017,0.004971532194292739,0.0011364900934002792,2.1238473690528693e-06,38b12_00014
0.9673825164051042,1731915947,,True,1,38b12_00015,2024-11-18_15-45-47,208.03804802894592,208.03804802894592,29173,Behs-MacBook-Air-2.local,127.0.0.1,208.03804802894592,1,14,6,0.07732913365074408,0.9486948239219578,0.8867148200057527,3.0124625029799655e-06,1.9943764169897477e-07,0.0012136503334882751,38b12_00015
0.97195015290394,1731916136,,True,1,38b12_00016,2024-11-18_15-48-56,396.552451133728,396.552451133728,29175,Behs-MacBook-Air-2.local,127.0.0.1,396.552451133728,1,22,8,0.03847378768156693,0.8842705522653429,0.8721127546322472,0.1314942750083212,0.061220955731669045,4.186827841827804e-05,38b12_00016
0.9091730702480074,1731916045,,True,1,38b12_00017,2024-11-18_15-47-25,211.85384511947632,211.85384511947632,29345,Behs-MacBook-Air-2.local,127.0.0.1,211.85384511947632,1,35,3,0.008055412482449727,0.9328201622996778,0.9444457911635935,6.802988367568863e-07,0.0018404929038424076,9.305994902064839e-07,38b12_00017
0.968553888177761,1731916150,,True,1,38b12_00018,2024-11-18_15-49-10,307.4255521297455,307.4255521297455,29351,Behs-MacBook-Air-2.local,127.0.0.1,307.4255521297455,1,33,5,0.05218312864415428,0.9865157153621722,0.6001882386518254,1.3661662698133275e-07,0.832265762314051,9.444389133408512e-07,38b12_00018
0.9699008353809703,1731916453,,True,1,38b12_00019,2024-11-18_15-54-13,580.0781602859497,580.0781602859497,29375,Behs-MacBook-Air-2.local,127.0.0.1,580.0781602859497,1,34,8,0.011837517186812384,0.6263181394937577,0.8874703549408671,1.2587077162057895e-07,0.385297546853746,2.2889457061575355e-08,38b12_00019
0.9695495130259889,1731916511,,True,1,38b12_00020,2024-11-18_15-55-11,570.1287369728088,570.1287369728088,29416,Behs-MacBook-Air-2.local,127.0.0.1,570.1287369728088,1,25,10,0.011708245412613897,0.9782309203854744,0.9182988162626253,1.3120995070619131e-06,0.17710156524847115,9.292012150887012e-06,38b12_00020
0.9748196227409114,1731916646,,False,1,38b12_00021,2024-11-18_15-57-26,684.6245520114899,684.6245520114899,29441,Behs-MacBook-Air-2.local,127.0.0.1,684.6245520114899,1,30,11,0.0015266741082473852,0.7973215455732026,0.6135935988700312,0.00014323316021843557,3.562417487606473e-06,1.1235821777531803e-07,38b12_00021
0.9717747146684887,1731916333,,True,1,38b12_00022,2024-11-18_15-52-13,271.21947383880615,271.21947383880615,29526,Behs-MacBook-Air-2.local,127.0.0.1,271.21947383880615,1,14,8,0.0011529498129119941,0.797662870042588,0.6813998463727653,0.32248666392496367,0.00038258282615870684,0.16639010804390977,38b12_00022
0.9758735898058551,1731916843,,False,1,38b12_00023,2024-11-18_16-00-43,690.9377920627594,690.9377920627594,29595,Behs-MacBook-Air-2.local,127.0.0.1,690.9377920627594,1,31,13,0.06346378417399888,0.7131148115737024,0.8004045064606724,0.0002479765154831396,3.0051995963258846e-07,2.1249916207932316e-07,38b12_00023
0.975112397086525,1731916620,,False,1,38b12_00024,2024-11-18_15-57-00,453.59071373939514,453.59071373939514,29598,Behs-MacBook-Air-2.local,127.0.0.1,453.59071373939514,1,20,12,0.07346481854609269,0.9843431278628683,0.7883658336892551,0.02985016992469366,1.4687902765895599e-08,1.0559792291315218e-06,38b12_00024
0.9739998820122132,1731916765,,False,1,38b12_00025,2024-11-18_15-59-25,543.1879031658173,543.1879031658173,29654,Behs-MacBook-Air-2.local,127.0.0.1,543.1879031658173,1,33,13,0.030406996493330743,0.7613597957249122,0.7457613723220139,1.3797474155826532e-05,0.560269690856031,0.004495712545377942,38b12_00025
0.9710133161565068,1731916765,,True,1,38b12_00026,2024-11-18_15-59-25,416.5972669124603,416.5972669124603,29693,Behs-MacBook-Air-2.local,127.0.0.1,416.5972669124603,1,27,8,0.001792165113001759,0.8108204054584185,0.7689035349384303,0.2829740458801304,0.3697395248554013,0.002098972713275659,38b12_00026
0.9745853278071148,1731916744,,False,1,38b12_00027,2024-11-18_15-59-04,359.05401587486267,359.05401587486267,29722,Behs-MacBook-Air-2.local,127.0.0.1,359.05401587486267,1,21,10,0.015582251674428622,0.9522740702069652,0.6537253431187053,2.742602331433794e-06,0.33621743966520884,6.797293612050414e-06,38b12_00027
